id,city,match_date,season,match_number,team1,team2,venue,toss_winner,toss_decision,superover,winning_team,won_by,margin,method,player_of_match,umpire1,umpire2
1359524,Delhi,06-05-2023,2023,50,Royal Challengers Bangalore,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,N,Delhi Capitals,wickets,7,NA,PD Salt,RJ Tucker,YC Barde
1359522,Jaipur,05-05-2023,2023,48,Rajasthan Royals,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,N,Gujarat Titans,wickets,9,NA,Rashid Khan,HAS Khalid,VK Sharma
1359521,Hyderabad,04-05-2023,2023,47,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,bat,N,Kolkata Knight Riders,runs,5,NA,CV Varun,KN Ananthapadmanabhan,MA Gough
1359519,Lucknow,03-05-2023,2023,45,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,field,N,NA,no result,NA,NA,NA,AK Chaudhary,NA Patwardhan
1359520,Chandigarh,03-05-2023,2023,46,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field,N,Mumbai Indians,wickets,6,NA,Ishan Kishan,J Madanagopal,RJ Tucker
1359518,Ahmedabad,02-05-2023,2023,44,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,bat,N,Delhi Capitals,runs,5,NA,Mohammed Shami,MA Gough,R Pandit
1359517,Lucknow,01-05-2023,2023,43,Royal Challengers Bangalore,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,runs,18,NA,F du Plessis,AK Chaudhary,GR Sadashiv Iyer
1359515,Chennai,30-04-2023,2023,41,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,bat,N,Punjab Kings,wickets,4,NA,DP Conway,RJ Tucker,UV Gandhe
1359516,Mumbai,30-04-2023,2023,42,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,N,Mumbai Indians,wickets,6,NA,YBK Jaiswal,Vinod Seshan,VK Sharma
1359513,Kolkata,29-04-2023,2023,39,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Gujarat Titans,field,N,Gujarat Titans,wickets,7,NA,J Little,NA Patwardhan,GR Sadashiv Iyer
1359514,Delhi,29-04-2023,2023,40,Sunrisers Hyderabad,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,N,Sunrisers Hyderabad,runs,9,NA,MR Marsh,MA Gough,Navdeep Singh
1359512,Chandigarh,28-04-2023,2023,38,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,field,N,Lucknow Super Giants,runs,56,NA,MP Stoinis,Nitin Menon,Vinod Seshan
1359511,Jaipur,27-04-2023,2023,37,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,N,Rajasthan Royals,runs,32,NA,YBK Jaiswal,A Totre,YC Barde
1359510,Bengaluru,26-04-2023,2023,36,Kolkata Knight Riders,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,field,N,Kolkata Knight Riders,runs,21,NA,CV Varun,KN Ananthapadmanabhan,R Pandit
1359509,Ahmedabad,25-04-2023,2023,35,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,field,N,Gujarat Titans,runs,55,NA,A Manohar,AK Chaudhary,A Nand Kishore
1359508,Hyderabad,24-04-2023,2023,34,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Capitals,bat,N,Delhi Capitals,runs,7,NA,AR Patel,J Madanagopal,RJ Tucker
